Zip,LatLong,Population
10162,"40.769298, -73.949942","1,726"
10028,"40.776865, -73.954721","44,987"
10128,"40.781656, -73.950281","59,856"
10031,"40.825857, -73.949451","60,221"
10009,"40.726622, -73.978955","58,595"
10032,"40.839194, -73.942591","63,842"
11372,"40.751706, -73.883561","71,308"
10016,"40.744983, -73.978262","51,217"
10003,"40.731856, -73.989145","53,673"
10002,"40.715952, -73.985870","84,870"
10026,"40.802320, -73.952943","30,377"
10023,"40.775394, -73.982197","62,206"
10025,"40.797958, -73.964917","97,086"
10453,"40.852779, -73.912332","76,775"
10030,"40.818492, -73.943283","25,847"
10021,"40.769742, -73.961653","102,078"
11226,"40.646430, -73.956866","106,154"
10029,"40.792245, -73.945230","75,390"
10012,"40.725639, -73.998090","26,000"
10033,"40.849124, -73.935956","58,259"
10040,"40.858134, -73.929031","46,599"
11104,"40.744515, -73.920457","29,506"
10452,"40.837763, -73.923314","72,138"
10011,"40.741844, -74.000711","46,669"
10039,"40.826296, -73.937053","21,737"
10456,"40.830877, -73.907954","76,656"
10010,"40.739122, -73.982363","26,408"
10468,"40.868093, -73.899730","78,309"
10022,"40.758615, -73.967752","30,642"
10037,"40.813159, -73.937352","16,984"
10458,"40.862831, -73.886395","77,840"
11103,"40.762634, -73.913156","44,321"
11213,"40.671034, -73.936357","65,440"
11373,"40.737347, -73.878716","105,723"
10457,"40.846687, -73.898374","69,048"
10024,"40.786307, -73.970694","61,414"
10014,"40.733471, -74.007098","32,667"
11216,"40.680854, -73.949144","55,775"
11219,"40.632769, -73.996642","85,987"
10472,"40.829650, -73.869368","64,867"
11212,"40.662907, -73.912969","85,161"
11221,"40.691310, -73.927772","76,363"
10038,"40.709336, -74.002943","15,574"
10027,"40.811407, -73.953564","56,168"
11220,"40.641307, -74.016251","92,718"
11218,"40.643783, -73.975954","74,611"
10455,"40.814678, -73.908333","37,465"
11106,"40.762211, -73.931528","43,130"
10017,"40.752292, -73.972393","16,201"
10462,"40.842823, -73.858861","72,077"
11206,"40.702037, -73.942444","69,032"
11237,"40.704160, -73.921139","48,910"
11374,"40.726219, -73.861264","44,189"
10019,"40.766331, -73.985013","36,012"
11230,"40.622104, -73.965118","88,933"
10034,"40.869208, -73.921929","41,756"
11204,"40.618675, -73.984893","74,880"
10459,"40.825558, -73.893156","39,080"
11217,"40.682306, -73.978099","35,353"
11233,"40.678089, -73.919867","61,955"
10013,"40.720067, -74.004829","25,042"
11211,"40.713507, -73.952578","85,089"
11225,"40.662236, -73.958951","63,774"
11102,"40.772884, -73.926295","36,291"
10280,"40.708501, -74.016828","6,614"
11419,"40.688685, -73.822882","48,867"
11238,"40.678424, -73.963874","48,965"
11355,"40.750123, -73.820977","83,281"
10044,"40.762050, -73.949933","9,520"
10451,"40.822092, -73.922612","40,961"
11368,"40.749407, -73.852780","98,841"
11210,"40.628049, -73.946278","62,308"
11203,"40.649411, -73.934397","84,498"
10463,"40.880678, -73.906540","65,576"
11214,"40.598668, -73.996212","83,546"
11223,"40.597427, -73.973039","77,691"
11229,"40.601293, -73.944493","80,554"
10036,"40.759614, -73.991148","18,751"
11415,"40.708229, -73.827867","20,956"
11435,"40.701408, -73.809817","53,877"
11224,"40.577257, -73.989762","51,205"
11416,"40.684614, -73.849509","23,668"
11377,"40.744813, -73.905122","88,339"
10454,"40.805528, -73.916632","34,976"
10466,"40.891039, -73.847226","68,787"
10467,"40.877420, -73.872597","94,342"
11201,"40.693682, -73.989693","47,746"
10460,"40.842724, -73.879745","53,707"
11369,"40.763513, -73.871961","36,110"
11207,"40.670361, -73.893848","86,551"
11209,"40.622352, -74.030431","69,840"
11421,"40.693633, -73.858513","37,664"
11235,"40.583552, -73.947900","77,451"
11370,"40.765370, -73.893132","43,142"
11215,"40.662688, -73.986740","63,001"
11236,"40.639761, -73.900640","96,301"
11228,"40.616863, -74.013196","41,172"
