day,hour,value
1,1,50
2,10,790
5,12,1006
6,12,1040
7,11,358
6,24,58
4,10,924
4,15,960
4,17,750
5,19,262
7,9,142
2,20,178
3,13,966
3,14,950
5,13,924
6,13,904
6,15,820
6,14,804
2,12,1034
3,11,1052
3,8,262
4,12,1108
2,13,930
5,10,938
5,17,732
5,16,846
6,10,830
3,16,946
5,9,518
3,17,706
7,12,364
2,11,888
4,14,870
5,21,148
6,20,184
5,22,112
2,16,920
6,16,854
1,15,168
2,17,716
4,13,944
7,13,286
2,15,836
1,23,60
4,16,870
6,1,54
6,18,396
2,14,918
3,23,140
5,14,818
5,15,928
4,9,596
5,11,1018
6,11,970
1,16,160
4,11,1110
7,17,228
5,20,190
3,21,152
3,15,946
6,3,24
7,5,6
7,15,272
7,19,96
2,24,74
3,9,612
3,12,1156
4,21,174
2,18,398
3,19,346
4,18,470
2,1,36
3,20,222
7,20,84
7,3,30
4,4,18
4,2,46
5,18,364
1,14,132
7,24,30
6,19,214
6,9,500
6,17,652
6,21,134
7,23,52
7,14,284
3,10,846
3,18,406
2,21,210
4,24,100
7,21,74
2,22,132
1,22,70
3,5,10
7,10,236
5,8,178
4,3,28
5,7,68
1,12,150
1,24,64
2,8,170
4,5,10
1,11,146
1,19,92
2,19,248
7,6,10
2,9,480
4,23,158
1,9,64
3,7,70
7,7,28
7,8,48
1,17,132
6,5,22
1,18,98
4,20,172
4,8,204
7,22,46
4,22,144
5,1,56
1,13,130
4,19,256
1,10,126
6,2,42
6,22,116
3,22,140
7,18,130
2,7,56
6,8,166
1,20,68
7,16,266
5,24,96
2,23,88
3,24,90
6,7,66
5,4,26
4,1,54
5,23,118
3,1,78
4,7,66
5,2,42
1,8,36
7,1,46
3,2,34
6,23,52
5,5,22
1,21,82
2,2,26
1,7,12
3,4,14
3,3,18
4,6,8
7,2,36
1,6,10
6,4,20
2,6,20
2,5,12
3,6,2
2,3,10
1,3,12
1,5,4
5,6,24
1,2,14
1,4,6
5,3,12
7,4,12
6,6,2
2,4,2
