day,hour,value
1,1,204
7,11,396
2,9,650
4,21,402
7,20,468
1,15,526
5,9,568
7,17,526
5,20,430
2,21,370
5,17,472
6,17,464
2,17,474
3,20,432
6,20,358
3,24,154
4,16,570
4,15,672
5,7,96
5,12,800
6,12,784
5,10,742
7,21,486
1,21,254
1,22,262
2,13,604
3,17,582
3,15,650
4,17,510
7,9,306
2,8,370
5,16,518
5,23,290
1,11,392
1,17,530
1,19,362
2,12,738
3,11,694
3,16,580
5,19,464
6,13,686
7,13,502
3,10,718
4,14,742
5,8,360
3,8,394
4,8,404
4,9,600
6,7,108
6,15,548
7,12,538
1,23,210
2,7,116
6,19,460
6,10,726
1,14,520
2,10,654
4,12,624
4,10,690
5,6,34
6,14,624
7,10,394
1,24,168
3,19,462
5,11,782
6,8,394
7,15,548
7,14,528
1,16,590
6,9,570
1,20,356
3,9,588
5,14,700
5,15,544
1,18,410
4,22,408
3,23,190
2,19,418
3,12,832
4,11,684
6,16,518
2,15,564
4,19,440
2,14,582
4,13,712
5,13,756
6,18,466
4,4,28
7,24,234
1,2,160
2,3,42
1,13,480
2,16,480
4,3,56
4,1,94
7,16,576
7,4,42
6,24,282
3,22,352
4,20,442
5,1,112
3,3,30
3,13,700
3,14,712
6,11,734
6,21,386
5,2,60
7,18,434
7,22,438
3,1,80
6,4,24
1,9,202
4,23,246
1,12,434
1,8,126
1,10,272
6,22,342
5,22,406
7,19,454
3,18,588
2,24,148
3,5,32
1,3,86
2,11,614
5,18,522
7,1,128
2,6,50
7,23,352
5,21,406
2,23,212
4,18,548
4,6,46
5,24,206
3,21,438
5,4,24
7,3,76
2,20,402
6,6,56
7,8,160
2,22,280
6,1,126
2,2,86
3,7,138
6,2,80
3,4,24
2,18,474
4,2,64
6,23,310
7,2,124
4,24,188
2,1,72
6,3,62
1,7,80
3,6,48
3,2,60
7,7,70
2,5,34
4,7,138
4,5,26
7,6,32
1,6,48
7,5,32
5,3,32
1,4,48
6,5,26
5,5,8
1,5,40
2,4,18
