day,hour,value
1,1,5464
7,2,3448
7,16,638
2,17,300
6,16,292
1,14,428
5,23,2106
7,24,6090
2,2,1012
2,9,188
3,21,746
4,22,1034
5,20,582
6,1,2222
6,23,3208
6,21,1082
7,3,2184
6,24,5436
1,2,4060
1,3,2278
2,1,1300
2,19,452
4,3,606
4,14,202
5,4,506
2,16,252
3,2,990
4,24,1740
5,22,1260
7,1,5168
7,19,1026
7,5,1118
3,3,588
4,23,1648
6,2,1386
6,13,222
7,23,3762
2,23,1410
5,17,224
5,3,666
6,22,1492
1,4,1580
1,20,740
3,1,1316
4,1,1290
7,20,1218
7,15,608
7,17,834
7,22,2090
1,23,1478
6,4,616
4,9,186
5,1,1452
2,21,772
3,16,226
4,6,290
1,24,1598
1,5,1348
4,20,560
4,21,660
5,6,288
7,21,1492
3,22,998
5,2,1028
5,8,188
6,3,962
2,24,1556
1,13,442
1,21,1006
3,15,230
6,15,230
1,7,522
4,2,1002
4,15,248
4,10,226
6,14,236
6,19,582
7,12,454
1,16,526
1,18,666
2,11,222
3,24,1586
7,11,416
7,6,820
2,5,360
6,11,234
6,9,186
4,19,438
5,24,2620
2,14,234
3,18,302
3,13,176
2,15,214
5,21,824
7,18,868
3,20,502
7,4,1432
1,6,902
7,7,388
5,18,320
6,10,250
2,12,214
2,22,928
2,3,692
2,20,606
6,12,210
1,8,308
3,4,416
1,19,762
5,7,196
4,4,408
6,17,374
1,10,324
1,11,402
4,17,236
7,13,468
2,18,278
3,23,1282
3,11,248
3,12,154
6,5,546
7,14,570
2,7,172
2,13,204
6,18,338
5,14,222
7,8,286
1,17,540
6,6,342
6,20,746
4,18,292
1,22,1076
7,9,358
1,9,308
3,5,348
3,19,366
6,7,248
3,14,202
1,12,374
5,19,394
5,13,202
7,10,410
1,15,474
5,5,418
5,16,226
4,5,376
4,13,210
5,12,222
3,7,226
5,11,176
3,6,222
4,7,184
5,9,224
2,4,468
3,8,204
2,6,256
2,8,208
6,8,208
3,17,228
4,16,226
2,10,198
5,10,214
4,12,162
5,15,240
4,8,202
4,11,166
3,9,228
3,10,202
