day,hour,value
1,1,306
5,17,1058
5,13,1326
6,13,1038
6,21,460
7,16,734
1,18,628
3,4,152
3,12,1344
3,10,1450
4,9,1034
4,19,1652
4,13,1198
5,24,466
5,9,1066
6,18,870
6,24,550
6,20,1310
6,9,880
1,17,854
3,19,1384
5,18,820
5,12,1374
2,10,1200
2,20,1316
2,15,1892
3,17,1336
3,7,320
4,20,1424
4,16,2056
4,22,574
4,14,2398
4,1,334
6,10,1104
7,20,386
2,23,466
7,15,594
3,8,608
6,23,402
3,14,2478
4,10,1328
6,7,322
7,18,488
1,24,430
3,13,1480
3,16,2076
3,22,680
4,12,1224
4,21,536
5,11,1354
5,16,1970
6,15,1954
6,3,178
1,20,514
3,11,1464
4,15,2018
5,20,1354
5,21,538
6,14,2056
1,14,1126
2,11,1304
3,20,1136
6,12,1146
2,9,858
2,21,600
2,14,2208
4,23,536
5,10,1412
3,15,2226
1,22,334
2,19,1338
3,9,1038
6,17,1080
1,13,574
2,18,792
2,22,574
1,19,434
5,23,490
3,1,366
7,11,542
7,4,62
1,16,1482
4,8,548
7,10,530
7,13,638
2,2,134
4,11,1198
7,17,608
6,16,1272
7,24,408
4,17,1344
5,14,2948
6,22,414
2,8,478
5,4,172
7,2,176
5,3,266
5,15,2314
7,19,392
3,21,584
6,8,452
7,8,258
5,8,648
1,12,466
2,12,1228
5,19,1652
6,19,1380
7,9,382
7,22,310
1,15,768
2,16,2080
3,6,124
2,13,1426
4,7,312
1,8,192
2,17,1286
3,18,806
4,24,432
6,11,1252
2,7,254
5,22,556
6,2,406
1,21,438
1,3,146
3,2,336
4,3,398
7,12,588
4,2,434
1,23,346
7,14,604
4,4,128
4,6,134
1,10,408
5,7,248
3,23,600
7,5,92
1,11,428
4,18,870
2,24,448
2,6,60
6,1,322
7,21,356
7,23,336
3,24,516
1,5,50
5,1,322
1,2,118
2,1,236
6,6,150
7,1,242
5,6,128
5,2,302
7,7,178
1,9,262
2,3,310
7,6,90
7,3,94
2,5,38
3,5,50
3,3,366
2,4,82
6,5,90
5,5,74
1,6,40
1,7,154
1,4,92
6,4,104
4,5,34
