day,hour,value
1,1,678
7,17,570
1,14,564
7,15,694
7,16,628
7,21,480
1,11,224
1,16,710
5,15,428
6,17,416
6,16,454
7,13,512
5,17,348
7,14,536
1,15,552
7,18,474
1,17,506
6,18,438
1,12,300
2,17,288
2,16,316
1,20,344
5,19,320
4,14,454
2,18,376
6,15,448
2,13,416
5,16,330
1,13,382
1,18,514
6,22,542
7,22,514
7,20,604
5,18,290
6,20,444
7,12,416
6,12,382
7,19,714
4,16,386
2,11,188
7,23,618
6,14,434
3,15,330
5,13,462
4,15,442
3,13,428
7,11,248
3,14,408
5,14,438
2,15,358
6,11,238
2,14,404
6,13,362
4,18,370
3,20,452
3,24,586
3,16,296
3,18,250
6,1,582
1,3,508
1,5,440
4,13,458
5,24,792
5,1,460
3,22,466
4,23,572
2,24,546
5,4,192
1,19,354
1,21,360
3,3,224
3,23,572
5,12,370
5,22,518
5,23,652
1,23,434
3,21,590
3,4,162
4,22,536
4,24,618
4,8,166
5,21,444
6,24,860
6,21,588
3,2,400
4,20,668
4,21,432
5,20,520
7,1,852
4,1,428
7,24,734
2,23,558
3,19,364
4,12,354
2,22,420
5,2,370
2,21,346
2,10,242
6,19,406
2,20,352
4,3,236
7,2,732
1,4,434
2,19,324
4,19,336
2,2,284
1,2,632
5,6,82
2,12,218
3,12,316
3,9,240
4,9,226
5,9,258
6,23,638
4,5,148
7,9,236
7,3,566
4,10,308
6,3,238
5,3,238
5,10,332
1,24,476
2,1,378
6,7,68
7,10,160
7,5,422
5,11,284
3,5,124
7,4,366
4,4,168
1,10,196
2,9,174
4,11,252
6,2,384
6,9,238
6,8,96
3,11,246
1,6,162
3,17,306
3,1,442
3,8,124
4,7,100
4,17,312
6,4,218
4,2,302
5,5,152
1,22,374
6,6,108
6,5,212
3,10,230
3,7,84
2,3,196
2,4,106
5,8,208
5,7,80
7,6,128
6,10,218
2,5,164
7,8,268
1,8,144
1,9,224
7,7,100
2,6,76
3,6,90
4,6,88
2,7,68
2,8,98
1,7,78
