day,hour,value
1,1,108
2,8,286
4,15,768
4,17,632
5,8,394
6,12,1018
1,20,262
2,16,610
3,20,416
4,21,406
4,10,884
5,12,854
7,24,178
1,13,388
3,21,382
4,20,440
4,11,848
5,14,832
6,10,860
6,4,60
6,15,652
7,17,474
3,18,522
4,14,774
1,7,66
2,15,704
4,6,98
7,19,374
1,16,412
7,10,358
7,16,452
5,15,698
3,10,788
7,12,476
6,11,868
7,15,508
2,22,254
7,8,152
1,12,368
7,11,422
3,11,816
5,22,386
7,9,318
5,9,688
3,15,750
4,16,752
4,12,850
5,24,272
6,18,608
6,6,62
6,21,326
7,13,478
7,14,426
3,19,472
5,10,824
5,23,332
6,16,616
6,19,470
1,19,314
1,17,438
2,18,564
2,19,422
3,22,314
3,17,630
5,17,644
6,13,972
7,23,226
7,7,210
1,15,398
2,13,660
4,18,536
4,13,822
2,20,312
3,16,648
5,19,498
6,9,690
2,9,564
3,12,906
3,9,706
3,23,278
4,8,350
4,19,536
6,20,336
2,4,40
5,20,376
5,16,614
5,21,380
5,11,904
5,13,828
6,23,314
7,20,346
1,22,242
1,3,52
2,10,790
2,11,758
3,24,206
7,21,332
7,18,432
1,10,264
1,6,38
1,8,126
1,5,46
2,14,652
2,17,596
2,21,310
2,12,778
1,11,302
1,9,192
4,9,722
6,17,608
3,8,358
3,2,98
5,6,104
5,4,74
3,5,80
3,7,326
3,6,56
3,3,230
4,22,318
4,23,308
4,24,200
7,3,238
7,4,80
1,18,442
6,14,768
7,5,34
6,2,138
3,13,798
2,7,134
3,14,732
5,18,562
7,2,102
7,22,232
4,7,296
6,8,338
1,21,222
3,1,142
7,1,160
2,2,64
4,3,230
4,4,46
2,6,44
2,5,36
4,2,100
1,2,64
5,7,274
1,14,346
1,24,166
4,5,72
6,24,220
6,22,508
2,3,54
5,3,248
6,3,204
2,1,100
2,23,196
2,24,196
6,7,248
5,1,168
5,5,78
4,1,140
6,5,58
6,1,192
5,2,112
1,23,140
3,4,42
7,6,42
1,4,28
